"country","region","end_year","rur","sex","agegroup","hbloodp","diab","smoke","age","school_yr","wom_bmi","wom_weight","wom_height","wom_hemog","hv206","hv207","hv208","hv209","hv210","hv211","hv212","hv220","hv243a","hv246","cattle","poultry","goat_sheep","hands_facility","hv270","hv271","n","ndiab","nsmoke","nhbp","inc_diab","inc_smoke","inc_hbp"
"Bangladesh","barisal",2007,0,0,4,,,0,27.7744007110596,6.84770059585571,21.5989532470703,49.2494850158691,149.894744873047,,62.2138328552246,26.0916919708252,48.6999855041504,20.0218086242676,21.2167377471924,6.0741720199585,0.643823027610779,44.3290061950684,49.4727172851563,57.05517578125,11.8003244400024,54.7837715148926,8.70796298980713,,3.56738066673279,0.205829810061889,301828.262695313,0,301828.262695313,0,0,0,0
"Bangladesh","barisal",2007,0,0,5,,,0,44.4402923583984,4.02803468704224,21.2627182006836,48.2287368774414,150.357513427734,,59.5593147277832,31.0748405456543,55.2990341186523,16.5902690887451,27.0244388580322,5.86784076690674,0,52.1319580078125,57.9282836914063,58.268196105957,14.8894777297974,57.3679733276367,8.05911254882813,,3.56813311576843,0.197676145300484,63322.3112792969,0,63322.3112792969,0,0,0,0
"Bangladesh","barisal",2007,0,1,1,,,48.6360740661621,30.7822895050049,6.4639139175415,,,,,64.5723342895508,28.3597679138184,48.4738311767578,20.4582633972168,26.2815818786621,4.01853132247925,0,41.526985168457,50.759521484375,59.7731895446777,9.60245132446289,58.8195266723633,7.59303379058838,,3.55521607398987,0.121287544203333,209751.811279297,0,209751.811279297,0,0,102015.04675293,0
"Bangladesh","barisal",2007,0,1,2,,,45.1855621337891,44.4329071044922,4.81812620162964,,,,,50.8023910522461,23.5735301971436,37.3546142578125,6.44588851928711,30.2683410644531,3.08477354049683,0,45.1905097961426,41.0417327880859,68.8917999267578,22.7385921478271,65.794677734375,11.3441410064697,,3.20336723327637,-0.0502885130334227,127876.736938477,0,127876.736938477,0,0,57781.8209228516,0
"Bangladesh","barisal",2007,0,1,3,,,48.4813766479492,52.636360168457,6.94315147399902,,,,,72.3458480834961,52.3042526245117,58.3115730285645,19.9522647857666,24.8465156555176,8.20420551300049,0,49.9841499328613,67.6505126953125,65.9952850341797,19.4196395874023,62.3750343322754,11.3283433914185,,4.23152208328247,0.464698613301009,54695.5064697266,0,54695.5064697266,0,0,26517.1350097656,0
"Bangladesh","chittagong",2007,0,0,4,,,0,27.2679576873779,6.02488660812378,21.9097270965576,50.1247253417969,150.737594604492,,75.2807388305664,27.6035842895508,49.2961349487305,22.0482540130615,13.5789031982422,5.1057243347168,1.800412774086,42.5314140319824,51.7482528686523,43.9664001464844,13.3349847793579,41.4551086425781,6.20676422119141,,3.94868659973145,0.554727067897473,1303649.74865723,0,1303649.74865723,0,0,0,0
"Bangladesh","chittagong",2007,0,0,5,,,0,44.171443939209,3.38107705116272,22.9404811859131,52.3521308898926,151.466156005859,,79.7535629272461,29.3710918426514,59.5965881347656,25.8233089447021,16.3582153320313,6.47292184829712,3.09231305122375,51.2574081420898,54.3027534484863,51.1094131469727,11.314169883728,46.494945526123,8.95908451080322,,4.04240369796753,0.696478303262703,376205.416503906,0,376205.416503906,0,0,0,0
"Bangladesh","chittagong",2007,0,1,1,,,54.4370498657227,31.0582294464111,6.73594617843628,,,,,73.6637573242188,31.6407947540283,49.4583892822266,15.4043951034546,13.2450847625732,11.4531230926514,2.72282958030701,40.3510475158691,49.4004402160645,40.679271697998,9.32345771789551,37.6335220336914,4.202317237854,,3.96798849105835,0.514728338918169,1009267.47753906,0,1009267.47753906,0,0,549415.431640625,0
"Bangladesh","chittagong",2007,0,1,2,,,65.8216934204102,44.7066421508789,5.40485525131226,,,,,72.9884414672852,34.5154228210449,50.1153106689453,24.7213516235352,15.0292730331421,3.6112813949585,7.01711082458496,44.6961669921875,56.6289291381836,57.8868942260742,18.9651832580566,55.2525291442871,5.60712146759033,,4.03911113739014,0.612776733696915,538503.747070313,0,538503.747070313,0,0,354452.295898438,0
"Bangladesh","chittagong",2007,0,1,3,,,66.2365646362305,52.188835144043,5.69390153884888,,,,,70.9028167724609,26.9722290039063,50.6440353393555,24.2670078277588,14.9353561401367,6.26227855682373,3.27296590805054,49.5809288024902,47.2213706970215,55.5428352355957,17.4388828277588,51.9585723876953,13.1566829681396,,3.75071573257446,0.586602752553375,216582.708007813,0,216582.708007813,0,0,143456.950683594,0
"Bangladesh","dhaka",2007,0,0,4,,,0,27.3153457641602,6.01947116851807,22.3434524536133,50.8567543029785,150.773651123047,,92.9749145507813,25.5447959899902,68.0587387084961,29.315486907959,13.3471088409424,3.11920881271362,1.59225714206696,41.850700378418,63.215950012207,24.6176700592041,9.07251739501953,22.1638450622559,4.35194635391235,,4.51986026763916,1.1914761929786,3148240.86560059,0,3148240.86560059,0,0,0,0
"Bangladesh","dhaka",2007,0,0,5,,,0,44.3740196228027,3.69561529159546,23.0204334259033,51.9850120544434,150.060501098633,,92.9113006591797,30.3408660888672,77.2660217285156,37.7588005065918,14.9216346740723,1.93297648429871,0.798545181751251,49.5950355529785,68.9774627685547,29.5878276824951,10.0673265457153,27.3244514465332,5.70523548126221,,4.52304220199585,1.31856150474529,804570.220703125,0,804570.220703125,0,0,0,0
