"country_code","region","end_year","rur","wombmi_cat","wom_weight","wom_height","wom_bmi","n"
"BD","barisal",2014,0,1,52.8484039306641,150.95393371582,23.1512317657471,667137.978820801
"BD","barisal",2014,0,2,75.7469024658203,153.90869140625,31.9142627716064,49295.1298217773
"BD","barisal",2014,0,3,84.3934783935547,151.47639465332,36.7388877868652,41543.0569152832
"BD","barisal",2014,0,,,149.300003051758,,5384.89453125
"BD","chittagong",2014,0,1,52.0518608093262,150.653945922852,22.8905239105225,2211610.81860352
"BD","chittagong",2014,0,2,74.2716903686523,151.930938720703,32.1435966491699,199483.438598633
"BD","chittagong",2014,0,3,79.902587890625,148.987365722656,35.879753112793,35230.9384765625
"BD","chittagong",2014,0,4,104.06160736084,155.048965454102,43.2884521484375,7485.88525390625
"BD","chittagong",2014,0,,,,,35710.1833496094
"BD","dhaka",2014,0,1,52.2890357971191,151.0556640625,22.8790245056152,5005244.26318359
"BD","dhaka",2014,0,2,73.0847015380859,151.797149658203,31.6673011779785,371069.21484375
"BD","dhaka",2014,0,3,84.2524719238281,150.846008300781,36.9480056762695,61812.7573242188
"BD","dhaka",2014,0,4,88.4330673217773,140.946334838867,44.4402313232422,19186.7861328125
"BD","dhaka",2014,0,,,,,47413.474609375
"BD","khulna",2014,0,1,52.9121704101563,151.949371337891,22.8835868835449,993957.112304688
"BD","khulna",2014,0,2,73.4482650756836,152.789215087891,31.4283561706543,72289.612487793
"BD","khulna",2014,0,3,85.8641510009766,153.507873535156,36.4053840637207,9267.44311523438
"BD","khulna",2014,0,4,90.4000015258789,149.600006103516,40.3899993896484,795.248291015625
"BD","khulna",2014,0,,,,,6299.93518066406
"BD","rajshahi",2014,0,1,52.092227935791,151.54524230957,22.6572685241699,980676.990844727
"BD","rajshahi",2014,0,2,72.3467636108398,151.363739013672,31.5345764160156,73762.0883789063
"BD","rajshahi",2014,0,3,85.308952331543,151.488250732422,37.1383476257324,9165.25634765625
"BD","rajshahi",2014,0,4,117.900001525879,161.199996948242,45.3699989318848,1522.36145019531
"BD","rajshahi",2014,0,,37.5,,,7347.32104492188
"BD","rangpur",2014,0,1,51.9077186584473,151.111450195313,22.6798152923584,686501.940490723
"BD","rangpur",2014,0,2,74.0870132446289,151.944427490234,32.0164756774902,46042.8306884766
"BD","rangpur",2014,0,3,86.123908996582,153.810073852539,36.3959274291992,7278.91241455078
"BD","rangpur",2014,0,4,105.61515045166,156.265151977539,43.153938293457,1798.04547119141
"BD","rangpur",2014,0,,63.2999992370605,,,8962.80895996094
"BD","sylhet",2014,0,1,48.95166015625,150.619903564453,21.5576934814453,500045.233581543
"BD","sylhet",2014,0,2,73.0791931152344,151.013854980469,31.9927864074707,30454.6885070801
"BD","sylhet",2014,0,3,84.8878402709961,150.705352783203,37.3675117492676,3226.22052001953
"BD","sylhet",2014,0,4,93.3000030517578,149.699996948242,41.6300010681152,1884.44921875
"BD","sylhet",2014,0,,47.7000007629395,,,15712.7069091797
"BD","barisal",2014,1,1,47.561653137207,150.845947265625,20.8827152252197,1866562.03063965
"BD","barisal",2014,1,2,71.8621139526367,149.922897338867,31.9338684082031,24425.6064453125
"BD","barisal",2014,1,3,84.0050811767578,152.47966003418,36.1430511474609,2260.96960449219
"BD","barisal",2014,1,4,98,151.600006103516,42.6399993896484,1320.38586425781
"BD","barisal",2014,1,,46.8358535766602,157.926727294922,,30217.3542480469
"BD","chittagong",2014,1,1,49.9211120605469,151.301086425781,21.7728576660156,5261424.84814453
"BD","chittagong",2014,1,2,72.4992294311523,151.147811889648,31.6812744140625,154982.974243164
"BD","chittagong",2014,1,3,84.3011856079102,152.464691162109,36.2027587890625,21976.5766601563
"BD","chittagong",2014,1,4,104.5,160.800003051758,40.4199981689453,2130.07421875
"BD","chittagong",2014,1,,41.4703712463379,152.300003051758,,57417.2513427734
"BD","dhaka",2014,1,1,48.8888778686523,150.796646118164,21.4596519470215,9236241.578125
"BD","dhaka",2014,1,2,71.3846282958984,150.699981689453,31.4107780456543,215463.125976563
"BD","dhaka",2014,1,3,79.1623687744141,148.593078613281,35.8190574645996,21925.5
"BD","dhaka",2014,1,4,55.4000015258789,104.900001525879,50.3499984741211,4519.82421875
"BD","dhaka",2014,1,,38.2310676574707,186.899993896484,,77398.6186523438
"BD","khulna",2014,1,1,50.9972686767578,151.629455566406,22.1593837738037,3224616.56506348
"BD","khulna",2014,1,2,74.4832382202148,152.826187133789,31.8566303253174,113482.348022461
"BD","khulna",2014,1,3,86.9260864257813,153.917388916016,36.6513023376465,8772.33776855469
"BD","khulna",2014,1,4,96.7161331176758,148.112930297852,44.0987358093262,4987.24011230469
"BD","khulna",2014,1,,25.5,159,,12380.3645019531
"BD","rajshahi",2014,1,1,49.0220603942871,151.109329223633,21.4370784759521,3871563.9552002
"BD","rajshahi",2014,1,2,74.051643371582,152.857666015625,31.6633853912354,99849.9721679688
"BD","rajshahi",2014,1,3,90.5084381103516,156.969131469727,36.6823654174805,12960.3558349609
"BD","rajshahi",2014,1,4,75.5910110473633,131.713485717773,43.6229248046875,4055.49182128906
"BD","rajshahi",2014,1,,42.1299057006836,173.399993896484,,28318.6031494141
"BD","rangpur",2014,1,1,48.0968132019043,150.736053466797,21.1442737579346,4122627.63354492
"BD","rangpur",2014,1,2,74.0255661010742,152.970962524414,31.6129894256592,74014.3415527344
"BD","rangpur",2014,1,3,89.0999984741211,159.199996948242,35.1599998474121,2050.89672851563
"BD","rangpur",2014,1,,41.2000007629395,196.600006103516,,25676.4879150391
